Date,HomeTeam,AwayTeam,Referee,HPPG,HPPGH,HPPG_FORM,HPPGH_FORM,APPG,APPGA,APPG_FORM,APPGA_FORM,HGS,HGSH,HGS_FORM,HGSH_FORM,AGS,AGSA,AGS_FORM,AGSA_FORM,HGC,HGCH,HGC_FORM,HGCH_FORM,AGC,AGCA,AGC_FORM,AGCA_FORM,HCS,HCSH,HCS_FORM,HCSH_FORM,ACS,ACSA,ACS_FORM,ACSA_FORM,HPOS,APOS,HPDU,HPDD,APDU,APDD,HS_FORM,AS_FORM,HST_FORM,AST_FORM,HF_FORM,AF_FORM,HC_FORM,AC_FORM,HY_FORM,AY_FORM,HR_FORM,AR_FORM,FTR
12/09/2015,Crystal Palace,Man City,M Jones,2.25,1.5,2.25,1.5,3.0,3.0,3.0,3.0,2.0,1.5,2.0,1.5,2.5,2.5,2.5,2.5,1.25,1.5,1.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,1,3.0,1.0,0.0,3.0,12.75,17.75,5.75,7.25,15.25,11.0,5.75,6.75,1.25,2.25,0.0,0.0,A
12/09/2015,Everton,Chelsea,A Marriner,1.25,0.5,1.25,0.5,1.0,1.5,1.0,1.5,1.25,1.0,1.25,1.0,1.5,1.5,1.5,1.5,1.0,2.0,1.0,2.0,2.25,2.5,2.25,2.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,9,13,1.0,0.0,0.0,0.0,9.5,15.5,3.25,5.0,7.75,12.25,6.75,4.75,1.0,1.25,0.0,0.5,H
12/09/2015,Man United,Liverpool,M Oliver,1.75,2.0,1.75,2.0,1.75,2.0,1.75,2.0,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.75,0.0,0.75,0.0,0.75,1.0,0.75,1.0,0.75,1.0,0.75,1.0,5,7,1.0,0.0,0.0,1.0,12.25,13.5,3.75,3.5,13.0,14.25,4.5,6.0,2.0,3.0,0.0,0.25,H
12/09/2015,Norwich,Bournemouth,M Atkinson,1.0,0.5,1.0,0.5,1.0,1.5,1.0,1.5,1.25,1.0,1.25,1.0,1.25,2.0,1.25,2.0,2.0,2.0,2.0,2.0,1.5,2.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,11,0.0,0.0,1.0,0.0,15.75,11.0,5.0,3.25,12.25,12.75,5.0,5.5,1.75,2.25,0.25,0.0,H
12/09/2015,Watford,Swansea,R Madley,0.75,1.0,0.75,1.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,0.0,1.75,1.5,1.75,1.5,1.0,0.0,1.0,0.0,1.0,1.5,1.0,1.5,0.5,1.0,0.5,1.0,0.25,0.0,0.25,0.0,17,4,0.0,1.0,0.0,1.0,11.75,16.5,2.5,7.25,12.0,10.5,3.0,4.0,1.25,2.25,0.0,0.0,H
12/09/2015,West Brom,Southampton,S Attwell,1.0,0.0,1.0,0.0,1.25,1.0,1.25,1.0,0.75,1.0,0.75,1.0,1.25,1.0,1.25,1.0,1.5,3.0,1.5,3.0,1.25,1.0,1.25,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,15,10,0.0,1.0,0.0,1.0,11.25,17.25,3.25,5.5,10.0,9.5,5.75,5.75,3.0,2.5,0.0,0.0,D
13/09/2015,Leicester,Aston Villa,M Dean,2.0,2.0,2.0,2.0,1.0,1.5,1.0,1.5,2.0,2.5,2.0,2.5,1.0,1.0,1.0,1.0,1.25,1.5,1.25,1.5,1.25,1.0,1.25,1.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,6,14,0.0,0.0,1.0,0.0,11.75,11.0,4.5,3.0,12.75,13.0,4.0,3.75,2.5,2.75,0.0,0.0,H
13/09/2015,Sunderland,Tottenham,C Pawson,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.5,1.5,1.0,1.5,1.0,0.75,0.5,0.75,0.5,2.5,2.0,2.5,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,19,17,0.0,0.0,1.0,1.0,8.25,15.25,3.0,5.75,13.5,15.25,4.0,4.75,2.5,3.25,0.0,0.0,A
14/09/2015,West Ham,Newcastle,A Taylor,1.5,0.0,1.5,0.0,0.5,0.5,0.5,0.5,2.25,2.0,2.25,2.0,0.5,0.0,0.5,0.0,1.5,3.0,1.5,3.0,1.25,1.0,1.25,1.0,0.5,0.0,0.5,0.0,0.25,0.5,0.25,0.5,10,18,1.0,0.0,2.0,0.0,10.0,5.25,4.0,1.5,9.75,10.75,6.0,3.75,1.25,2.75,0.75,0.5,H
19/09/2015,Aston Villa,West Brom,M Atkinson,0.8,0.5,0.8,0.5,1.0,2.0,1.0,2.0,1.2,1.0,1.2,1.0,0.6,0.5,0.6,0.5,1.6,1.5,1.6,1.5,1.2,0.0,1.2,0.0,0.2,0.0,0.2,0.0,0.6,1.0,0.6,1.0,15,14,1.0,0.0,1.0,1.0,11.0,10.6,3.2,2.8,13.0,9.0,4.0,5.4,2.4,2.6,0.0,0.0,A
19/09/2015,Bournemouth,Sunderland,K Friend,0.8,0.5,0.8,0.5,0.4,0.5,0.4,0.5,1.2,0.5,1.2,0.5,1.2,2.0,1.2,2.0,1.8,1.0,1.8,1.0,2.2,3.0,2.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,19,0.0,0.0,0.0,0.0,10.2,9.0,3.0,2.8,12.4,13.0,5.2,4.4,2.4,2.4,0.0,0.0,H
19/09/2015,Chelsea,Arsenal,M Dean,0.8,0.5,0.8,0.5,2.0,3.0,2.0,3.0,1.4,1.5,1.4,1.5,1.0,1.5,1.0,1.5,2.4,2.0,2.4,2.0,0.6,0.5,0.6,0.5,0.0,0.0,0.0,0.0,0.6,0.5,0.6,0.5,17,4,0.0,2.0,0.0,1.0,15.4,22.4,4.4,7.8,12.2,8.0,6.6,8.0,1.4,1.0,0.4,0.0,H
